id,title,date_start,date_end,rights_status,rights_note,attribution,research_status,curated,contact
img_4e8d4526096e0dd7,"Fifth Street & Egan Avenue, Beaumont, 1890s",1890,1899,Copyrighted,Copyrighted — Laura May Stewart Trust (per the Calisphere record; contact via BLD).,"Beaumont Library District, via Calisphere (CBEA_146, ark:/13030/c8h70f56); rights: Copyrighted — Laura May Stewart Trust",Researched,True,"Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District)"
img_477fd73b5434521f,John J. McCoy Lumber Yard,1890,1910,Unclear,"Calisphere/BLD rights statement: ""Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)..."" Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections (rule 1).","Beaumont Library District Local History Collection, via Calisphere (CBEA_159)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_e223c8fe27b85e0d,"Reznor Perry Stewart, studio portrait",1890,1910,Permission required,"Stewart family photograph, unpublished, photographer unknown; the estimated c. 1890-1910 creation straddles the ~1906 line for the 120-year unpublished-anonymous term, so public domain cannot be asserted (Rule 8). Beaumont Library District's Calisphere Stewart items name the Laura May Stewart Trust (Marilyn Vonderheide) as rights holder — contact the Trust via BLD before print use.","Stewart family photographs, Beaumont Library District (Laura May Stewart Trust)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org | Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District)"
img_b08de96dbf496fab,The Beaumont Hotel (later Hotel Edinburgh),1890,1900,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Beaumont Library District, via Calisphere (CBEA_009, ark:/13030/c81v5d9b); photograph by C. C. Pierce & Co., Los Angeles",Researched,False,
img_3f09693198e8de04,"The Summit House, Beaumont",1890,1899,Unclear,"Calisphere/Banning Library District rights statement: 'Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.).' Next action: request reproduction permission from the Banning Library District, which is standard practice for these collections. (The 1890s photograph itself is very likely out of copyright, but it is an unpublished print with an unknown photographer, so the pre-1931 publication rule does not apply.)","Banning Library District Local History Collection, via Calisphere (CBAN_098)",Researched,False,"Banning Library District, 21 W. Nicolet St, Banning CA 92220 · (951) 849-3192 · banninglibrarydistrict.org"
img_9a09c6788b0dddf1,"A Well, a Girl and Cattle at the Bliss Ranch, South of Beaumont",1895,1915,Unclear,"Calisphere/BLD rights statement (verbatim operative phrase): 'Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)...' Required action: request reproduction permission from the contributing institution (Beaumont Library District), standard practice for these collections. Rule 2 not applied: although the page carries a printed Beaumont Land & Water Company header and typeset promotional caption, the handwritten ink annotation suggests a compiled scrapbook rather than demonstrably published pre-1931 material; if the album is confirmed as a published promotional booklet, this would become Public domain.","Beaumont Library District Local History Collection, via Calisphere (CBEA_055)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_6278e20aa65dd6a8,Beaumont Land & Water Company Pumping Plant #1,1895,1910,Unclear,"Calisphere/Beaumont Library District rights statement: 'Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.).' Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections.","Beaumont Library District Local History Collection, via Calisphere (CBEA_157)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_45720d2a6586237d,"Traditional house (kish), Morongo Reservation",1895,1905,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Banning Library District, via Calisphere (CBAN_093, ark:/13030/c8fb5109); contributor C. O. Barker",Researched,True,
img_83b4208d7a588795,"Flowing Well, Beaumont",1900,1912,Unclear,"Calisphere/BLD rights statement: ""Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)..."" Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections (rule 1). Rule 2 (pre-1931 published) would apply only if the hand-lettered print is shown to have circulated as a commercial postcard — not yet demonstrated.","Beaumont Library District Local History Collection, via Calisphere (CBEA_063)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_a3f413e8c9ed23bb,H. L. Priest and his fruit tree,1900,1919,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Beaumont Library District, via Calisphere (CBEA_064, ark:/13030/c83f4nzv)",Researched,True,
img_2846f7be40e9aff6,"Horse-drawn combine harvester at work, Stewart Ranch, Beaumont area",1900,1930,Permission required,"Stewart family collection: unpublished, photographer unknown (rule 8). Creation within c. 1900–1930 cannot be shown to predate ~1906, so the post-1906 branch applies — contact the family/donor via the Beaumont Library District; the Laura May Stewart Trust (named rights holder on related Calisphere Stewart images) is the likely authorizing party. If creation before ~1906 were ever established, the image would be public domain (120-year unpublished anonymous term).","Stewart family collection, via Beaumont Library District",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org | Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District)"
img_68556e4afecfa748,Clara and Laura May Stewart as young women (newspaper clipping of a c. 1902-1910 studio portrait),1902,1910,Permission required,"Stewart family studio portrait c. 1902-1910, photographer unknown; the sitting may postdate the ~1906 unpublished-anonymous PD threshold (rule 8), and the newspaper clipping reproducing it is undated so pre-1931 publication cannot be demonstrated. Next action: contact the Stewart family rights contact named on Calisphere's Stewart items (Laura May Stewart Trust, Marilyn Vonderheide, Beaumont) via Beaumont Library District.","Stewart family collection, via an unidentified newspaper clipping",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org | Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District)"
img_92d81318b1127f4b,"Eagan (Egan) Avenue with the Summit House, Beaumont — printed postcard",1905,1920,Public domain,"Commercially printed postcard published while the Summit House stood (destroyed by fire 1925), i.e. before 1931; U.S. copyright expired under the 95-year publication term (rule 2). Courtesy credit: Beaumont Library District, source of the scan — not a rights holder.",Beaumont Library District (courtesy),Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_7835865b7e46b59c,"Egan Avenue looking south, Beaumont — hand-colored postcard published by Robert Fulton, c. 1905–1915",1905,1915,Public domain,"Commercially published postcard, printed c. 1907–1915, well before 1931 — U.S. copyright expired (95-year term; pre-1931 publications are public domain as of 2026). Courtesy credit: Steve Lech postcard collection (scan source, not rights holder); institutions cannot claim new copyright in faithful reproductions of public-domain 2-D works.","Robert Fulton, Publisher; scan courtesy Steve Lech postcard collection",Researched,False,
img_d94679a3a45f55c0,"Eucalyptus trees on Beaumont Avenue — Beaumont Land and Water Company print, c. 1905–1912",1905,1912,Unclear,"Anonymous promotional photograph, c. 1905–1912. Likely out of copyright (anonymous unpublished works run 120 years from creation, and earlier expiry applies if the Beaumont Land and Water Co. published it in pre-1931 promotional matter), but neither publication nor the current holder of the stamped print is verified. Next action: ask SGPHS/Beaumont Library District which collection holds the stamped print and whether it appeared in company promotional literature (RIGHTS-RULES rule 10).",Beaumont Land and Water Company print; current holder unverified,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_df9bd9231a83651c,"Reznor Perry Stewart (1845-1933), Beaumont pioneer rancher — halftone portrait",1905,1920,Unclear,"Halftone from an unidentified printed publication. If published before 1931 it is public domain (95-year term); if it first appeared in, e.g., his November 1933 obituary, copyright could subsist with the publisher. Rule 10. Next action: identify the printed source via CDNC (Record-Gazette, Nov 1933) and Cherry Festival programs, then re-grade; interim reproduction permission via Beaumont Library District / Laura May Stewart Trust (Marilyn Vonderheide, Beaumont).",Unidentified publication; Stewart family collection via Beaumont Library District,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org | Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District) | Record-Gazette, Banning CA · recordgazette.net"
img_6f833a14a7764e47,"Southern Pacific depot, Beaumont",1905,1915,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Beaumont Library District, via Calisphere (CBEA_134, ark:/13030/c85x2881)",Researched,True,
img_934590dec97e3d15,"Southern Pacific depot, Beaumont, with arriving train (printed postcard)",1905,1915,Public domain,"Commercial picture postcard published before 1931 (pre-WWI printed card, scene c. 1905-1915): 95-year U.S. copyright term expired. Courtesy credit: Beaumont Library District historical photo files. Per Bridgeman v. Corel, the scan adds no new copyright.",Beaumont Library District historical photo files; postcard publisher unknown,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_07a9db15e22db499,"SP shop crew with locomotive No. 2789, Beaumont yard",1905,1915,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Beaumont Library District, via Calisphere (CBEA_005, ark:/13030/c8g1605q); also cited as Banning Library District by the SGPHS timeline",Researched,False,
img_b2764c9151e44824,"Beaumont Land and Water Company office, Beaumont, c. 1907-1915",1907,1915,Permission required,"Permission required — Beaumont Library District holds the mounted print (RIGHTS-RULES rule 7); photographer unknown, c. 1907-1915, not demonstrably published (as an unpublished anonymous work its 120-year term would run to c. 2027-2035). Next action: request reproduction permission and a high-res scan from BLD; if shown published in company promotion before 1931, reclassify Public domain.",Beaumont Library District (collection),Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_157678621f95c278,"Egan Avenue looking north with the Beaumont Land & Water Company office, Beaumont",1907,1918,Permission required,"Photographer unknown; apparently unpublished print from the Beaumont Library District collection (rights rule 7) — the underlying copyright has likely expired (c. 1907–1918 creation), but the institution controls reproduction of its physical holdings. Next action: request permission and a higher-resolution scan from Beaumont Library District.",Unknown,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_179919b175fe6648,"Egan Avenue, Beaumont, 1907",1907,1907,Unclear,"Calisphere/BLD rights statement: copyright status unknown (rule 1). Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections.","Beaumont Library District, via Calisphere (CBEA_011, ark:/13030/c8tb167d)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_650198dd9e4987ea,"Egan Avenue, Beaumont, 1907",1907,1907,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Beaumont Library District, via Calisphere (CBEA_011, ark:/13030/c8tb167d)",Researched,True,
img_3e252c3b2ce712aa,"Fruit Farms, Beaumont — Beaumont Land & Water Co. promotional bird's-eye lithograph, c. 1907-1915",1907,1915,Public domain,"Promotional advertising lithograph published by the Beaumont Land & Water Co. c. 1907-1915 to sell townsite lands — published before 1931, so U.S. copyright has expired (95-year term; rule 2). Calisphere/BLD's statement for the same artwork (CBEA_069) is the 'copyright status unknown' boilerplate, but per the RIGHTS-RULES tier-2 note, faithful reproductions of PD 2-D works gain no new copyright (Bridgeman v. Corel). Courtesy credit: Beaumont Library District; practical next step for print use is requesting a high-res scan from BLD.",Beaumont Land & Water Co. advertisement; slide copy held by Beaumont Library District (Calisphere CBEA_069),Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_c6fa941a29b0f0cd,"Hotel Edinburgh (former Hotel Beaumont), Beaumont — hand-colored postcard, c. 1907-1909",1907,1909,Public domain,"Commercial picture postcard published c. 1907-1909, before 1931 — U.S. copyright expired (95-year term). The ePodunk watermark on this scan confers no rights (faithful reproduction of a PD 2-D work; Bridgeman v. Corel). Next action: replace with a cleaner scan for production use.",Postcard publisher unknown; scan via ePodunk.com,Researched,False,
img_2fa19df607bf43e1,"""Home of C. B. Eyer"" — the Eyer residence, Sixth Street and Magnolia Avenue, Beaumont (published halftone)",1908,1915,Public domain,"Rule 2: published before 1931 — the item is demonstrably a letterpress halftone with a printed headline (i.e., a published clipping), and its subject ties it to C. B. Eyer's Beaumont promotional era (1907-c.1915); the 95-year U.S. copyright term on any such pre-1931 publication has expired, and a faithful scan gains no new copyright (Bridgeman v. Corel). Courtesy credit: Beaumont Library District, Eyer House and family folder.",Beaumont Library District (Eyer House and family folder),Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_4b0acbe1458e33c0,"Bank of Beaumont under construction, Fifth Street and California Avenue, 1908-09 (photo by Salvage)",1908,1909,Unclear,"Treated as the Calisphere/Beaumont Library District item its filename cites; BLD's Calisphere items typically carry 'copyright status unknown' boilerplate (statement not yet captured verbatim — item needs re-locating). Photograph created 1908-09 by Beaumont photographer Salvage; if it remained unpublished, the 120-years-from-creation presumption runs to c. 2028-29. Next action: capture the Calisphere item's Rights Information verbatim and request reproduction permission from Beaumont Library District, standard practice for this collection.","Beaumont Library District Local History Collection, via Calisphere; photograph by Salvage",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_e0a4861e5d654fdb,"Beaumont Avenue under mature street trees, hand-colored postcard",1908,1915,Public domain,"Commercial picture postcard published before 1931 (hand-tinted pre-WWI card type; scene c. 1908-1915): 95-year U.S. copyright term expired. Courtesy credit: Beaumont Library District historical photo files. Per Bridgeman v. Corel, the scan adds no new copyright.",Beaumont Library District historical photo files; postcard publisher unknown,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_eabd3578774e347f,Engines at Beaumont,1908,1918,Unclear,"Calisphere/BLD rights statement: ""Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)..."" Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections (rule 1).","Beaumont Library District Local History Collection, via Calisphere (CBEA_007)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_02861b7cd39cd162,"Fifth Street at Egan Avenue with A. T. Gantt's general merchandise store, Beaumont, c. 1910",1908,1913,Unclear,"Unpublished snapshot by an unknown photographer, c. 1910, in an unidentified private album. As an anonymous unpublished work its U.S. copyright runs 120 years from creation (expiring c. 2030 if taken in 1910), and the album's owner is unidentified, so neither PD status nor a permission contact can yet be named. Next action: SGPHS to identify the source album/donor and re-scan the print; treat as permission-required until the holder is known (RIGHTS-RULES rule 10, by analogy to rule 8).","Unknown (print in an unidentified album, photographed in situ)",Researched,False,
img_19665af80792888c,"Gateway Gazette composing room, Beaumont (booster postcard with typesetter's note)",1908,1912,Public domain,"Commercial postcard demonstrably published c. 1908-1912: it advertises the composing room of a newspaper that launched January 1908, in the same blue-halftone booster series as the companion office-exterior card, and its annotator set type in the pictured plant in 1911. Published before 1931; U.S. copyright expired (95-year term). The much-later handwritten annotation is an incidental, unpublished personal note with no practical copyright impediment. Courtesy credit: Leslie A. Rios III Postcard Collection.",Leslie A. Rios III Postcard Collection,Researched,False,
img_e6c2b250138da121,Laura May Stewart and Reznor Stewart with companions 'Frank' and 'Clara' at the Stewart Ranch barn,1908,1913,Permission required,"Rule 8: family-collection print, unpublished, photographer unknown, created after 1906 (c. 1911) — permission via the family/donor through BLD. Concrete contact: Calisphere's Stewart-family items name the rights holder as Laura May Stewart Trust, Marilyn Vonderheide, 309 West 9th Place, Beaumont, CA.",Stewart family collection (via Beaumont Library District),Researched,False,"Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District)"
img_d5b3e8d2100926fd,Looking North on California Street near the 4th Street Train Crossing,1908,1918,Unclear,"Calisphere/BLD rights statement: ""Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)."" Next action: request reproduction permission from the Beaumont Library District, standard practice for this collection.","Beaumont Library District Local History Collection, via Calisphere (CBEA_003)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_f711da54b73a8423,"Office of the Gateway Gazette newspaper, Beaumont (booster postcard)",1908,1910,Public domain,"Commercial postcard demonstrably published c. 1908-1910: it depicts the newspaper office 'as it now appears' during the paper's operation, which began January 1908 (LA Herald, Jan 19, 1908), in the blue-halftone booster style of Beaumont's 1907-09 boom. Published before 1931; U.S. copyright expired (95-year term). Courtesy credit: Leslie A. Rios III Postcard Collection (collection owner, not rights holder).",Leslie A. Rios III Postcard Collection,Researched,False,
img_c3a4436f12810d6d,People Viewing the Flowing Well in Edgar Canyon,1908,1908,Unclear,"Calisphere rights statement (verbatim opening): 'Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.).' No rights holder is named. Next action: request reproduction permission from the contributing institution (Beaumont Library District), which is standard practice for these collections (RIGHTS-RULES rule 1: copyright-status-unknown boilerplate).","Beaumont Library District Local History Collection, via Calisphere (CBEA_073)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_f525afa6dc4390a8,"The Gateway Gazette, front page — April 30, 1908 (Vol. I, No. 15)",1908,1908,Public domain,"Newspaper page published April 30, 1908; U.S. copyright expired (95-year term, works published before 1931). Courtesy credit: California Digital Newspaper Collection, UC Riverside (RIGHTS-RULES rule 2).","California Digital Newspaper Collection, UC Riverside",Researched,False,
img_240a367ade7eccf1,Water well drilling in Edgar Canyon,1908,1908,Unclear,"Calisphere/BLD rights statement: 'Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.).' Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections.","Beaumont Library District Local History Collection, via Calisphere (CBEA_071)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_e5061c07708726ac,"'Spectacular Fire at Beaumont Destroys Hotel Edinburgh' — Los Angeles Herald, August 18, 1909",1909,1909,Public domain,"Newspaper page published August 18, 1909; U.S. copyright expired (95-year term, works published before 1931). Courtesy credit: California Digital Newspaper Collection, UC Riverside (RIGHTS-RULES rule 2).","Los Angeles Herald (digitized by the California Digital Newspaper Collection, UC Riverside)",Researched,False,
img_4ae2f58167bd00f1,Demonstration train,1909,1909,Unclear,"Calisphere/BLD rights statement: 'Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.).' Next action: request reproduction permission from the Beaumont Library District, which is standard practice for these collections.","Beaumont Library District Local History Collection, via Calisphere (CBEA_004)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_a4ddc941e94d3eed,"Mellen Ranch orchard in bloom, 1909",1909,1909,Unclear,Do not infer reuse rights from age; verify against the holding institution or rights statement.,"Beaumont Library District, via Calisphere (CBEA_067, ark:/13030/c8kh0mpc)",Researched,True,
img_98c82304eed8a985,"Southern Pacific Depot, Beaumont — real photo postcard, c. 1909",1909,1909,Unclear,"Unclear, leaning Public domain - the negative-inscribed caption supports a commercially published real photo postcard c. 1909, which would be out of copyright under rule 2; but the 1909 date is filename-derived, the verso is unscanned, and no postmark or publisher imprint has been observed, so pre-1931 publication is a format inference, not demonstrated. Next action: locate the verso postmark or a publisher imprint to confirm Public domain.",Photographer/publisher unknown; scan from an eBay postcard listing,Researched,False,
img_7cc7f95ae75d9aa6,"Southern Pacific depot, Beaumont, California — real-photo postcard, postmarked March 28, 1909",1909,1909,Public domain,"Commercial real-photo postcard published/mailed by March 28, 1909; U.S. copyright expired (95-year term, works published before 1931). Courtesy credit: Tyrrell Historical Library, Beaumont, Texas, via The Portal to Texas History (RIGHTS-RULES rule 2; per the rule-2 note, the faithful reproduction of this PD card carries no new copyright).","Tyrrell Historical Library (Beaumont, Texas), Southeast Texas Postcards Collection — via The Portal to Texas History",Researched,False,
img_9c26cfc39eca4fc9,"Beaumont Post Office with W.C.T.U. fountain pavilion, Fifth Street and Egan Avenue",1910,1915,Public domain,"Rule 2: commercially produced real-photo postcard published c. 1911-1915, before 1931 — U.S. copyright expired (95-year term). Courtesy credit: Beaumont Library District collection scan.",Unknown photographer; Beaumont Library District collection scan,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_62e54c6518d7403e,"Dedication of the W.C.T.U. fountain, Beaumont — real-photo postcard",1910,1911,Public domain,"Real-photo postcard produced for sale at the 1910-1911 dedication — published before 1931; U.S. copyright expired under the 95-year publication term (rule 2). The 'LKCA' watermark is a scan-level dealer mark, not a copyright claim: faithful reproductions of public-domain 2-D works gain no new copyright (Bridgeman v. Corel).",Unknown photographer (real-photo postcard),Researched,False,
img_7547c2a1a3855993,"Dedication of the W.C.T.U. fountain, Fifth Street and Egan Avenue, Beaumont (real-photo postcard)",1910,1911,Public domain,"Real-photo postcard published c. 1910-1911 (BLD explicitly catalogs it as a postcard); published before 1931 — U.S. copyright expired (95-year term). Calisphere/BLD rights statement is 'copyright status unknown' boilerplate, but per the campaign's tier-2-vs-7 note (Bridgeman v. Corel) the institution's faithful scan of a PD published 2-D work carries no new copyright. Courtesy credit: Beaumont Library District.",Beaumont Library District,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_3e64932e3b8abfb7,"Egan Avenue looking south with A.T. Gantt General Merchandise, Beaumont (postcard postmarked 1915)",1910,1915,Public domain,Real-photo postcard postmarked/mailed 1915 — published before 1931; U.S. copyright expired (95-year term). Courtesy credit: Beaumont Library District collection; scan sourced from an eBay listing.,Unidentified postcard photographer/publisher (scan from an eBay listing),Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_9299c7a090b03878,"Francis Marion Dowling Sr. as a young man, studio portrait",1910,1918,Permission required,"Unpublished family portrait, photographer unidentified, created after 1906 (rule 8): permission required from the Dowling family/donor via Beaumont Library District. As an unpublished anonymous work (120 years from creation), a c. 1910-1918 portrait remains in copyright until roughly 2030-2038.","Dowling family collection, Beaumont Library District",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
